Source,Keyword,2020-11-02 PM,2020-11-03 AM,2020-11-03 PM,2020-11-04 AM,2020-11-05 AM,2020-11-05 PM,2020-11-06 AM,2020-11-06 PM,2020-11-07 AM,2020-11-08 AM,2020-11-08 PM
Buzzfeed,Azerbaijan/Armenia,1,1,1,1,1,0,0,0,0,1,1
Buzzfeed,Michigan,0,0,0,0,1,0,0,0,0,0,0
Buzzfeed,Wisconsin,0,0,0,0,2,0,0,0,0,0,0
Buzzfeed,Pennsylvania,0,0,0,0,1,0,0,2,2,1,0
Buzzfeed,Arizona,0,0,0,1,0,0,1,1,1,0,0
Buzzfeed,Nevada,0,0,1,1,1,1,1,1,1,1,0
Buzzfeed,Florida,0,0,0,1,0,0,0,0,0,0,0
Buzzfeed,Climate Change,0,0,0,0,0,0,0,0,0,0,0
New Yorker,Trump,11,16,14,16,11,15,13,15,11,12,10
New Yorker,Biden,2,6,9,7,4,3,2,1,1,9,9
New Yorker,Election,15,22,23,24,17,18,15,13,11,11,11
New Yorker,Coronavirus,12,12,12,12,6,3,3,3,13,3,3
New Yorker,Election Integrity,2,1,1,1,2,3,3,1,1,1,1
New Yorker,Economy,1,1,1,1,1,1,1,1,1,1,1
New Yorker,Election Violence,0,1,1,1,0,0,1,2,2,1,1
New Yorker,Azerbaijan/Armenia,0,0,0,0,1,1,1,1,0,0,0
New Yorker,Michigan,0,0,0,0,0,0,0,0,0,0,0
New Yorker,Wisconsin,1,2,0,0,2,1,0,0,0,0,0
New Yorker,Pennsylvania,1,1,1,1,0,0,1,3,2,0,0
New Yorker,Arizona,0,0,0,0,0,0,0,0,0,0,0
New Yorker,Nevada,0,0,0,0,0,0,0,0,0,0,0
New Yorker,Florida,0,0,0,0,0,0,0,0,0,0,0
New Yorker,Climate Change,0,0,0,0,0,0,0,0,0,0,0
Mother Jones,Trump,13,12,14,10,19,17,16,15,16,17,19
Mother Jones,Biden,5,5,4,4,8,3,4,5,5,10,14
Mother Jones,Election,14,12,26,11,29,21,22,20,16,15,15
Mother Jones,Coronavirus,16,13,16,13,25,15,15,12,13,21,18
Mother Jones,Election Integrity,0,0,0,0,4,5,5,0,1,0,1
Mother Jones,Economy,4,3,4,2,7,3,3,3,3,4,4
Mother Jones,Election Violence,3,3,5,3,4,3,3,4,3,2,2
Mother Jones,Azerbaijan/Armenia,2,2,2,2,4,3,3,4,4,2,2
Mother Jones,Michigan,0,0,0,0,2,1,0,0,0,0,0
Mother Jones,Wisconsin,0,0,0,0,2,0,0,0,0,0,0
Mother Jones,Pennsylvania,2,2,1,0,0,0,1,1,1,1,0
Mother Jones,Arizona,0,0,0,1,1,0,0,0,0,0,0
Mother Jones,Nevada,0,0,0,0,0,0,0,0,0,0,0
Mother Jones,Florida,1,1,1,2,1,1,1,1,1,1,1
Mother Jones,Climate Change,0,0,0,0,0,0,0,0,0,0,0
